question_id,option_id,option_label,is_missing
2025-010_health_1,1,Younger than 5,false
2025-010_health_1,2,5-7,false
2025-010_health_1,3,8-10,false
2025-010_health_1,4,11-13,false
2025-010_health_1,5,14-16,false
2025-010_health_1,6,Older than 16,false
2025-010_health_10,1,It would definitely make them a better therapist,false
2025-010_health_10,2,It would probably make them a better therapist,false
2025-010_health_10,3,It might or might not make them a better therapist,false
2025-010_health_10,4,It would probably make them a worse therapist,false
2025-010_health_10,5,It would definitely make them a worse therapist,false
2025-010_health_11,1,Yes,false
2025-010_health_11,2,No,false
2025-010_health_11,3,Maybe,false
2025-010_health_11,4,I never thought about it,false
2025-010_health_12,1,1 Never,false
2025-010_health_12,2,2,false
2025-010_health_12,3,3,false
2025-010_health_12,4,4,false
2025-010_health_12,5,5,false
2025-010_health_12,6,6 Everyday/Almost Everyday,false
2025-010_health_13,1,1 Never,false
2025-010_health_13,2,2,false
2025-010_health_13,3,3,false
2025-010_health_13,4,4,false
2025-010_health_13,5,5,false
2025-010_health_13,6,6 Everyday/Almost Everyday,false
2025-010_health_14,1,1 Never,false
2025-010_health_14,2,2,false
2025-010_health_14,3,3,false
2025-010_health_14,4,4,false
2025-010_health_14,5,5,false
2025-010_health_14,6,6 Everyday/Almost Everyday,false
2025-010_health_15,1,1 Never,false
2025-010_health_15,2,2,false
2025-010_health_15,3,3,false
2025-010_health_15,4,4,false
2025-010_health_15,5,5,false
2025-010_health_15,6,6 Everyday/Almost Everyday,false
2025-010_health_16,1,1 Never,false
2025-010_health_16,2,2,false
2025-010_health_16,3,3,false
2025-010_health_16,4,4,false
2025-010_health_16,5,5,false
2025-010_health_16,6,6 Everyday/Almost Everyday,false
2025-010_health_17,1,1 Never,false
2025-010_health_17,2,2,false
2025-010_health_17,3,3,false
2025-010_health_17,4,4,false
2025-010_health_17,5,5,false
2025-010_health_17,6,6 Everyday/Almost Everyday,false
2025-010_health_18,1,0,false
2025-010_health_18,2,1,false
2025-010_health_18,3,2,false
2025-010_health_18,4,3,false
2025-010_health_18,5,4,false
2025-010_health_18,6,5,false
2025-010_health_18,7,6,false
2025-010_health_18,8,7 or more,false
2025-010_health_19,1,1 Not difficult at all,false
2025-010_health_19,2,2,false
2025-010_health_19,3,3,false
2025-010_health_19,4,4,false
2025-010_health_19,5,5,false
2025-010_health_19,6,6,false
2025-010_health_19,7,7 Extremely difficult,false
2025-010_health_2,1,I don't have a salary or pension/retirement,false
2025-010_health_2,2,"0%, no saving",false
2025-010_health_2,3,1-3%,false
2025-010_health_2,4,4-6%,false
2025-010_health_2,5,7-9%,false
2025-010_health_2,6,10-12%,false
2025-010_health_2,7,more than 12%,false
2025-010_health_20,1,1 Strongly Disagree,false
2025-010_health_20,2,2,false
2025-010_health_20,3,3,false
2025-010_health_20,4,4,false
2025-010_health_20,5,5 Strongly Agree,false
2025-010_health_21,1,1 None of it,false
2025-010_health_21,2,2,false
2025-010_health_21,3,3,false
2025-010_health_21,4,4,false
2025-010_health_21,5,5,false
2025-010_health_21,6,6,false
2025-010_health_21,7,7 All of it,false
2025-010_health_21,8,I don't use social media,false
2025-010_health_22,1,1 Strongly disagree,false
2025-010_health_22,2,2 Disagree,false
2025-010_health_22,3,3 Slightly disagree,false
2025-010_health_22,4,4 Neither disagree nor agree,false
2025-010_health_22,5,5 Slightly agree,false
2025-010_health_22,6,6 Agree,false
2025-010_health_22,7,7 Strongly agree,false
2025-010_health_23,1,1 Not similar at all,false
2025-010_health_23,2,2,false
2025-010_health_23,3,3,false
2025-010_health_23,4,4,false
2025-010_health_23,5,5,false
2025-010_health_23,6,6,false
2025-010_health_23,7,7 Most similar,false
2025-010_health_24,1,Never,false
2025-010_health_24,2,A few times a year,false
2025-010_health_24,3,A few times per month,false
2025-010_health_24,4,A few times per week,false
2025-010_health_24,5,Multiple times a day,false
2025-010_health_25,1,Never,false
2025-010_health_25,2,A small amount of the time,false
2025-010_health_25,3,Half of the time,false
2025-010_health_25,4,Most of the time,false
2025-010_health_25,5,All the time,false
2025-010_health_26,1,1 Not free at all to express my true emotions,false
2025-010_health_26,2,2,false
