question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2025-010_health_1,1,Younger than 5,0.040819497780209164,4.08,40.819497780209204,40,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_1,2,5-7,0.16639499356711207,16.64,166.3949935671122,172,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_1,3,8-10,0.2899386756920489,28.99,289.9386756920492,294,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_1,4,11-13,0.2978083151933799,29.78,297.80831519338017,293,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_1,5,14-16,0.11084475280780742,11.08,110.84475280780752,108,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_1,6,Older than 16,0.09419376495944261,9.42,94.19376495944269,93,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_10,1,It would definitely make them a better therapist,0.25804329084277533,25.8,258.04329084277555,266,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_10,2,It would probably make them a better therapist,0.36012538739697403,36.01,360.12538739697436,369,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_10,3,It might or might not make them a better therapist,0.3354815174849995,33.55,335.4815174849998,326,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_10,4,It would probably make them a worse therapist,0.029688192510703912,2.97,29.68819251070394,25,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_10,5,It would definitely make them a worse therapist,0.016661611764547234,1.67,16.66161176454725,14,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_11,1,Yes,0.5080023832491277,50.8,508.00238324912823,519,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_11,2,No,0.27103745534725215,27.1,271.0374553472524,274,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_11,3,Maybe,0.1539416186416173,15.39,153.94161864161742,154,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_11,4,I never thought about it,0.06701854276200285,6.7,67.01854276200291,53,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_12,1,1 Never,0.644295115039708,64.43,644.2951150397087,626,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_12,2,2,0.19556790329845378,19.56,195.56790329845396,212,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_12,3,3,0.08061175492922429,8.06,80.61175492922436,86,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_12,4,4,0.04974682097946479,4.97,49.746820979464836,50,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_12,5,5,0.01401196037461455,1.4,14.011960374614562,14,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_12,6,6 Everyday/Almost Everyday,0.01576644537853452,1.58,15.766445378534534,12,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_13,1,1 Never,0.6681236916411598,66.81,668.1236916411605,663,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_13,2,2,0.13623705681822337,13.62,136.2370568182235,150,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_13,3,3,0.08071564029961589,8.07,80.71564029961597,84,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_13,4,4,0.0488435390662546,4.88,48.84353906625464,50,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_13,5,5,0.04175504442532442,4.18,41.755044425324456,33,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_13,6,6 Everyday/Almost Everyday,0.024325027749421944,2.43,24.325027749421967,20,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_14,1,1 Never,0.5924637037381376,59.25,592.4637037381382,593,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_14,2,2,0.23911510096225996,23.91,239.1151009622602,240,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_14,3,3,0.09120653170388755,9.12,91.20653170388763,92,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_14,4,4,0.034967770728026565,3.5,34.96777072802659,38,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_14,5,5,0.021859241790267773,2.19,21.85924179026779,23,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_14,6,6 Everyday/Almost Everyday,0.020387651077420552,2.04,20.38765107742057,14,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_15,1,1 Never,0.7176530206894195,71.77,717.6530206894201,718,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_15,2,2,0.13330470245886217,13.33,133.3047024588623,142,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_15,3,3,0.08046234731266966,8.05,80.46234731266973,79,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_15,4,4,0.029912972551264305,2.99,29.912972551264332,30,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_15,5,5,0.02390916339532353,2.39,23.909163395323553,20,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_15,6,6 Everyday/Almost Everyday,0.014757793592460867,1.48,14.75779359246088,11,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_16,1,1 Never,0.742032052184453,74.2,742.0320521844537,738,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_16,2,2,0.1251216412448965,12.51,125.12164124489661,138,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_16,3,3,0.05761280146028447,5.76,57.61280146028452,59,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_16,4,4,0.030648394426588545,3.06,30.648394426588574,27,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_16,5,5,0.021802595888785553,2.18,21.80259588878557,21,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_16,6,6 Everyday/Almost Everyday,0.02278251479499193,2.28,22.78251479499195,17,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_17,1,1 Never,0.734976745825601,73.5,734.9767458256017,732,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_17,2,2,0.13119094165308826,13.12,131.19094165308837,137,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_17,3,3,0.0598417137768943,5.98,59.84171377689435,62,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_17,4,4,0.03288455962017346,3.29,32.88455962017349,34,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_17,5,5,0.021655001026286935,2.17,21.655001026286953,20,false,https://verasight-spsp-2025.tiiny.co
2025-010_health_17,6,6 Everyday/Almost Everyday,0.01945103809795602,1.95,19.451038097956037,15,false,https://verasight-spsp-2025.tiiny.co
